Location,CowTagID,Dist_CT_cm,Depth_cm,Tidal_diff,adj_CT_depth_cm
Varari,V20,65,39.900000000000006,0,65
Varari,V14,62,40.1,0.19999999999999574,61.800000000000004
Varari,V17,70,40.9,0.7999999999999972,69.2
Varari,V19,79,37,-3.8999999999999986,82.9
Varari,V9,80,40,3,77
Varari,V10,32,39.1,-0.8999999999999986,32.9
Varari,V8,39,40.2,1.1000000000000014,37.9
Varari,V18,34,42.699999999999996,2.499999999999993,31.500000000000007
Varari,V7,45,41.8,-0.8999999999999986,45.9
Varari,V11,53,44,2.200000000000003,50.8
Varari,V12,59,43.5,-0.5,59.5
Varari,V6,70,45.800000000000004,2.3000000000000043,67.69999999999999
Varari,V15,40,42.3,-3.500000000000007,43.50000000000001
Varari,V5,70,41.4,-0.8999999999999986,70.9
Varari,V4,61,43.7,2.3000000000000043,58.699999999999996
Varari,V16,78,46,2.299999999999997,75.7
Varari,V3,50,44,-2,52
Varari,V2,70,44.800000000000004,0.8000000000000043,69.19999999999999
Varari,V1,76,44.2,-0.6000000000000014,76.6
Varari,V13,79,50.4,6.199999999999996,72.80000000000001
Varari,VSEEP,39.900000000000006,39.900000000000006,0,39.900000000000006
