Taxa,Taxon_Group,Morph2,Calc,ER,FE
Amansia rhodantha,Rhodophyta,Br,NC,Auto,"Rhodophyta,Br,NC,Auto"
Amphiroa fragilissima,Rhodophyta,Br,AC,Auto,"Rhodophyta,Br,AC,Auto"
Avrainvillea erecta,Chlorophyta,Fol,NC,Auto,"Chlorophyta,Fol,NC,Auto"
Caulerpa racemosa,Chlorophyta,Stol,NC,Auto,"Chlorophyta,Stol,NC,Auto"
Caulerpa serrulata,Chlorophyta,Stol,NC,Auto,"Chlorophyta,Stol,NC,Auto"
Crustose Corallines,Rhodophyta,Enc,Non-AC,Auto,"Rhodophyta,Enc,Non-AC,Auto"
Cyanobacteria,Cyanobacteria,Enc,NC,Auto,"Cyanobacteria,Enc,NC,Auto"
Cyphastrea microphthalma,Cnidaria,Enc,Herm,Mix,"Cnidaria,Enc,Herm,Mix"
Danafungia scruposa,Cnidaria,Mush,Herm,Mix,"Cnidaria,Mush,Herm,Mix"
Dictyosphaeria sp.,Chlorophyta,Cushion,NC,Auto,"Chlorophyta,Cushion,NC,Auto"
Dictyota bartayresiana,Phaeophyta,Br,NC,Auto,"Phaeophyta,Br,NC,Auto"
Dictyota friabilis,Phaeophyta,Br,NC,Auto,"Phaeophyta,Br,NC,Auto"
Discosoma nummiforme,Cnidaria,Poly,NC,Mix,"Cnidaria,Poly,NC,Mix"
Galaxaura divaricata,Rhodophyta,Br,Non-AC,Auto,"Rhodophyta,Br,Non-AC,Auto"
Galaxaura rugosa,Rhodophyta,Br,AC,Auto,"Rhodophyta,Br,AC,Auto"
Goniastrea stelligera,Cnidaria,Mas,Herm,Mix,"Cnidaria,Mas,Herm,Mix"
Gracilaria verrucosa,Rhodophyta,Br,NC,Auto,"Rhodophyta,Br,NC,Auto"
Porifera unknown,Porifera,Enc,NC,Het,"Porifera,Enc,NC,Het"
Halimeda distorta,Chlorophyta,Br,AC,Auto,"Chlorophyta,Br,AC,Auto"
Halimeda incrassata,Chlorophyta,Br,AC,Auto,"Chlorophyta,Br,AC,Auto"
Halimeda macroloba,Chlorophyta,Br,AC,Auto,"Chlorophyta,Br,AC,Auto"
Halimeda minima,Chlorophyta,Br,AC,Auto,"Chlorophyta,Br,AC,Auto"
Halimeda opuntia,Chlorophyta,Br,AC,Auto,"Chlorophyta,Br,AC,Auto"
Heteractis magnifica,Cnidaria,Poly,NC,Mix,"Cnidaria,Poly,NC,Mix"
Hypnea pannosa,Rhodophyta,Br,NC,Auto,"Rhodophyta,Br,NC,Auto"
Lendenfeldia chondrodes,Porifera,Enc,NC,Het,"Porifera,Enc,NC,Het"
Leptastrea transversa,Cnidaria,Enc,Herm,Mix,"Cnidaria,Enc,Herm,Mix"
Leptoseris mycetoseroides,Cnidaria,Enc,Herm,Mix,"Cnidaria,Enc,Herm,Mix"
Lithophyllum kotschyanum,Rhodophyta,Enc,Non-AC,Auto,"Rhodophyta,Enc,Non-AC,Auto"
Lobophora variegata,Phaeophyta,Enc,NC,Auto,"Phaeophyta,Enc,NC,Auto"
Montipora grisea,Cnidaria,Enc,Herm,Mix,"Cnidaria,Enc,Herm,Mix"
Montipora setosa,Cnidaria,Dig,Herm,Mix,"Cnidaria,Dig,Herm,Mix"
Montipora verrilli,Cnidaria,Enc,Herm,Mix,"Cnidaria,Enc,Herm,Mix"
Padina boryana,Phaeophyta,Fol,Non-AC,Auto,"Phaeophyta,Fol,Non-AC,Auto"
Pavona cactus,Cnidaria,Fol,Herm,Mix,"Cnidaria,Fol,Herm,Mix"
Pavona chiriquiensis,Cnidaria,Enc,Herm,Mix,"Cnidaria,Enc,Herm,Mix"
Pocillopora acuta,Cnidaria,Br,Herm,Mix,"Cnidaria,Br,Herm,Mix"
Pocillopora verrucosa,Cnidaria,Br,Herm,Mix,"Cnidaria,Br,Herm,Mix"
Porites irregularis,Cnidaria,Br,Herm,Mix,"Cnidaria,Br,Herm,Mix"
Porites lobata,Cnidaria,Mas,Herm,Mix,"Cnidaria,Mas,Herm,Mix"
Porites lutea,Cnidaria,Mas,Herm,Mix,"Cnidaria,Mas,Herm,Mix"
Porites rus,Cnidaria,Mas,Herm,Mix,"Cnidaria,Mas,Herm,Mix"
Psammocora stellata,Cnidaria,Br,Herm,Mix,"Cnidaria,Br,Herm,Mix"
Sargassum pacificum,Phaeophyta,Br,NC,Auto,"Phaeophyta,Br,NC,Auto"
Stylocoeniella armata,Cnidaria,Enc,Herm,Mix,"Cnidaria,Enc,Herm,Mix"
Turbinaria ornata,Phaeophyta,Br,NC,Auto,"Phaeophyta,Br,NC,Auto"
Turf,Turf,Fil,NC,Auto,"Turf,Fil,NC,Auto"
Valonia fastigiata,Chlorophyta,Cushion,NC,Auto,"Chlorophyta,Cushion,NC,Auto"
Valonia macrophysa,Chlorophyta,Cushion,NC,Auto,"Chlorophyta,Cushion,NC,Auto"
Valonia ventricosa,Chlorophyta,Sph,NC,Auto,"Chlorophyta,Sph,NC,Auto"
Verongida sp.,Porifera,Enc,NC,Het,"Porifera,Enc,NC,Het"
