"","PC1","PC2","PC3","PC4"
"Turf",-0.374075633093973,0.0320578191618742,0.0722158172185732,-0.0103556630511661
"Crustose Corallines",-0.377264466373551,0.0193528095199759,0.0954280078955232,0.00566098987554017
"Turbinaria ornata",-0.377264466373551,0.0193528095199761,0.0954280078955235,0.00566098987553995
"Galaxaura rugosa",-0.354147329300066,0.0182548247176518,-0.0984296894050958,-0.156908525545649
"Pocillopora acuta",-0.346138662298293,0.0729823911669454,-0.0362613932407598,0.0930495724756153
"Porites rus",-0.372211756971412,0.0902748298162732,0.000293109386074802,-0.04539598969308
"Valonia fastigiata",-0.233864283034223,0.129002247675053,-0.0615998335220164,-0.213169210990522
"Dictyota bartayresiana",-0.337274745498521,-0.0179581257128736,0.155385840529338,-0.0536683009656467
"Lithophyllum kotschyanum",-0.367348849851505,0.120824860344537,-0.0616759853090342,-0.00356255601884151
"Lendenfeldia chondrodes",-0.288843148090894,0.141790870023693,0.0572192294120676,-0.0694708560903548
"Amphiroa fragilissima",0.121628234250273,0.140477336206673,-0.0249222631169241,0.0628847704670832
"Dictyosphaeria sp.",-0.0732144573721501,0.289461621411382,-0.0732551890012631,-0.158260521836794
"Leptastrea transversa",-0.247932154673978,0.174325679855696,-0.16696970749439,0.0136185011350539
"Montipora setosa",-0.147475454780095,-0.120160682047756,-0.277020070301909,0.133074408010925
"Montipora verrilli",0.185385999755589,-0.369517536890611,-0.459916338434941,-0.214461781294471
"Halimeda opuntia",-0.278512507135416,0.0640652366078445,0.072851509527856,-0.230600936590512
"Stylocoeniella armata",0.185385999755589,-0.369517536890611,-0.459916338434941,-0.214461781294471
"Danafungia scruposa",0.185385999755589,-0.369517536890611,-0.459916338434941,-0.214461781294471
"Discosoma nummiforme",-0.261116233639959,0.165520501223519,-0.239127291477452,0.117279957536044
"Amansia rhodantha",-0.1832122392407,0.0607654005246287,-0.100708090024284,0.0130789109022577
"Lobophora variegata",-0.273302803787247,-0.0218590918882543,0.159787272195274,0.0101931893492245
"Galaxaura divaricata",-0.265756069700765,0.0837708029452104,0.000458486930280235,-0.0748016330677019
"Psammocora stellata",0.141828589172976,-0.13197528062275,-0.0561076217826331,-0.0253190596024882
"Halimeda macroloba",-0.0516893588008103,0.117736363002216,0.189081003457411,-0.102957337278562
"Halimeda incrassata",-0.0966754973307326,0.0267403080007312,0.171565985656347,0.071527896877297
"Heteractis magnifica",-0.121365131602816,-0.042472651439376,-0.0557959720010386,0.118901031704224
"Gracilaria verrucosa",-0.0609639034206883,-0.230527484148561,0.186114444723017,0.27670298370365
"Padina boryana",-0.0889848076459558,-0.297396674941193,0.332772967845516,0.190244958701163
"Montipora efflorescens",0.153016048753088,0.155907137866382,-0.0433376117073586,0.353200182204487
"Porites lobata",-0.0247389707662196,-0.317538204419579,0.312928951985535,0.169361153581715
"Sargassum pacificum",0.100291096652232,-0.326873097654398,0.285806081785773,-0.0906633617729314
"Porites lutea",0.218314638654574,-0.247198063532507,0.0461039669239457,0.0276408692499557
"Halimeda distorta",0.0943121500737899,0.194536106689457,0.0133278004366167,0.132122626886204
"Halimeda minima",0.146300224920598,-0.0919685098820433,0.0774348211356086,-0.419938529161099
"Grey Sponge",-0.132020949369257,0.29481351699123,-0.150924511247282,-0.0207023144252243
"Caulerpa serrulata",0.190630910275705,0.0876675786862698,0.27274649430898,-0.188143652967713
"Hypnea pannosa",0.177096479976547,-0.196198530870362,0.0162365247448106,0.0833058235989269
"Valonia ventricosa",0.018068109560868,-0.0478876665380468,-0.246557408263158,0.408105259368364
"Porites irregularis",0.117427898593889,-0.124703839770271,-0.170966042907244,0.172710974552151
"Pavona cactus",0.145565121114686,-0.0834290347288191,-0.0884387890072714,0.0167009306334607
"Verongida sp.",0.230111674266147,0.274494890257304,-0.138295271681784,0.196744796394748
"Pocillopora verrucosa",0.200645595629257,-0.113915041949763,-0.218155704959742,0.315398863248268
"Dictyota friabilis",0.370964178945788,0.333023869353984,0.105498944026878,-0.292468507792735
"Avrainvillea erecta",0.480796698702324,0.359661557384823,0.0563845170009249,0.0334407967392191
"Cyphastrea microphthalma",0.223691102955357,-0.351535086776773,0.29185792156098,-0.0195404264103925
"Goniastrea stelligera",0.480796698702324,0.359661557384823,0.0563845170009249,0.0334407967392191
"Pavona chiriquiensis",0.480796698702324,0.359661557384823,0.0563845170009248,0.0334407967392191
"Cyanobacteria",0.223691102955357,-0.351535086776773,0.29185792156098,-0.0195404264103925
"Leptoseris mycetoseroides",0.480796698702324,0.359661557384823,0.0563845170009249,0.0334407967392191
"Valonia macrophysa",0.215040039121157,-0.0606622683016408,0.0578864336642746,-0.398317655969063
"Caulerpa racemosa",0.16742589020443,-0.261499008434223,0.102471848944579,0.116237982235507
