CowTagID,NbSp,NbSpP,NbFEs,NbFEsP,Vol8D
V4,18,35.294117647058826,11,50,26.80742478934301
V18,16,31.372549019607842,13,59.09090909090909,40.43992972111351
V3,19,37.254901960784316,15,68.18181818181817,32.67833310670547
V14,10,19.607843137254903,7,31.818181818181817,11.34055506562428
V16,11,21.568627450980394,8,36.36363636363637,20.621936509133334
V17,8,15.686274509803921,6,27.27272727272727,2.256072877886979
V20,10,19.607843137254903,7,31.818181818181817,16.607678391954796
V9,12,23.52941176470588,8,36.36363636363637,7.953219275316838
V8,16,31.372549019607842,13,59.09090909090909,36.76480853352271
V19,19,37.254901960784316,15,68.18181818181817,63.23304211109825
V15,22,43.13725490196079,16,72.72727272727273,45.984897554217405
V11,19,37.254901960784316,14,63.63636363636363,45.984897554217405
V12,19,37.254901960784316,12,54.54545454545454,50.45136874553982
V5,17,33.33333333333333,14,63.63636363636363,64.43577406578565
V10,15,29.411764705882355,11,50,26.394862903284068
V2,29,56.86274509803921,16,72.72727272727273,61.822430191935716
V6,18,35.294117647058826,13,59.09090909090909,53.101275039198235
V1,20,39.21568627450981,12,54.54545454545454,24.75347497158348
V7,14,27.450980392156865,11,50,48.74290564217707
VSEEP,1,1.9607843137254901,1,3.571428571428571,0
