CowTagID,NbSp,NbSpP,NbFEs,NbFEsP,resSp,resSpp,resFE,resFEp
V1,2,11.11111111111111,2,33.33333333333333,-1.7437590264667298,-9.687550147037392,-0.8255386021734241,-13.758976702890433
V10,6,33.33333333333333,4,66.66666666666666,0.9826553164403595,5.459196202446439,0.18249511403047328,3.041585233841208
V11,3,16.666666666666664,3,50,-2.0173446835596396,-11.207470464220224,-0.8175048859695268,-13.62508143282544
V12,3,16.666666666666664,3,50,-1.0388581421345995,-5.771434122969999,-0.05538444841886324,-0.9230741403143838
V15,5,27.77777777777778,4,66.66666666666666,0.13797064047608087,0.76650355820045,0.3034666120543881,5.057776867573131
V16,3,16.666666666666664,2,33.33333333333333,1.1200248619619186,6.2223603442328805,0.6261193741135533,10.435322901892555
V18,3,16.666666666666664,3,50,-1.2407680633810347,-6.893155907672419,-0.21264739584995143,-3.544123264165853
V19,4,22.22222222222222,3,50,1.2036644501511677,6.687024723062045,0.9123875357724567,15.20645892954095
V2,7,38.88888888888889,3,50,3.0077364550761168,16.709646972645096,-0.019092999011688788,-0.3182166501948096
V20,1,5.555555555555555,1,16.666666666666664,-1.3614526425488147,-7.563625791937859,-0.748892269760582,-12.481537829343033
V3,7,38.88888888888889,5,83.33333333333334,2.7747634690225365,15.415352605680765,1.7994497539524394,29.990829232540673
V4,5,27.77777777777778,4,66.66666666666666,1.318367103147559,7.324261684153107,1.2228499970361413,20.380833283935683
V5,4,22.22222222222222,3,50,-0.7533086326989147,-4.185047959438416,-0.6118533393288716,-10.197555655481189
V6,4,22.22222222222222,3,50,1.2657905797654547,7.0321698875858605,0.9607761349820219,16.0129355830337
V7,3,16.666666666666664,2,33.33333333333333,-0.15356079513099044,-0.8531155285055038,-0.36584690968254785,-6.097448494709132
V8,4,22.22222222222222,3,50,-0.47374104943461676,-2.631894719081205,-0.39410464288582436,-6.568410714763736
V9,1,5.555555555555555,1,16.666666666666664,-2.1690923275345626,-12.050512930747567,-1.3779440594849393,-22.965734324748986
VSEEP,0,0,0,0,-0.8590875131512903,-4.772708406396056,-0.5787349693752553,-9.645582822920915
